Jugador;País;Posc;Edad;90 s;Gls.;Dis;DaP;% de TT;T/90;TalArc/90;G/T;G/TalArc;Dist;FK;TP;TPint;xG;npxG;npxG/Sh;G-xG;np:G-xG;Partidos
Rubén Alcaraz;es ESP;CC;32;34.8;3;46;10;21.7;1.32;0.29;0.02;0.10;24.9;8;2;2;3.3;1.7;0.04;-0.3;-0.7;Partidos
Jeremías Ledesma;ar ARG;PO;30;33.9;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Partidos
Chris Ramos;es ESP;DL,CC;26;29.0;5;76;27;35.5;2.62;0.93;0.07;0.19;12.0;0;0;0;10.1;10.1;0.13;-5.1;-5.1;Partidos
Fali;es ESP;DF;29;28.3;0;11;3;27.3;0.39;0.11;0.00;0.00;15.6;0;0;0;0.8;0.8;0.07;-0.8;-0.8;Partidos
Isaac Carcelen;es ESP;DF;30;29.0;0;10;3;30.0;0.34;0.10;0.00;0.00;20.2;1;0;0;0.6;0.6;0.06;-0.6;-0.6;Partidos
Javi Hernández;es ESP;DF;25;27.9;1;30;8;26.7;1.07;0.29;0.03;0.13;24.0;6;0;0;1.4;1.4;0.05;-0.4;-0.4;Partidos
Roberto Navarro;es ESP;CC,DL;21;21.0;1;30;9;30.0;1.43;0.43;0.03;0.11;19.1;0;0;0;2.1;2.1;0.07;-1.1;-1.1;Partidos
Víctor Chust;es ESP;DF;23;20.7;0;4;0;0.0;0.19;0.00;0.00;;9.7;0;0;0;0.3;0.3;0.08;-0.3;-0.3;Partidos
Iván Alejo;es ESP;CC;28;18.8;0;11;2;18.2;0.59;0.11;0.00;0.00;21.9;0;0;0;0.5;0.5;0.04;-0.5;-0.5;Partidos
Gonzalo Escalante;ar ARG;CC;30;18.9;1;14;3;21.4;0.74;0.16;0.07;0.33;17.4;0;0;0;1.9;1.9;0.14;-0.9;-0.9;Partidos
Rubén Sobrino;es ESP;CC,DL;31;18.3;0;21;3;14.3;1.15;0.16;0.00;0.00;17.9;0;0;0;1.8;1.8;0.09;-1.8;-1.8;Partidos
Roger Martí;es ESP;DL;32;15.1;2;33;12;36.4;2.19;0.79;0.06;0.17;17.8;0;0;0;2.8;2.8;0.08;-0.8;-0.8;Partidos
Lucas;br BRA;DF;22;17.1;1;11;4;36.4;0.64;0.23;0.09;0.25;21.5;3;0;0;0.8;0.8;0.07;+0.2;+0.2;Partidos
Álex Fernández;es ESP;CC;30;14.3;0;7;1;14.3;0.49;0.07;0.00;0.00;24.0;0;0;0;0.3;0.3;0.04;-0.3;-0.3;Partidos
Maxi Gómez;uy URU;DL;26;12.9;0;16;6;37.5;1.24;0.46;0.00;0.00;14.3;1;0;0;1.6;1.6;0.10;-1.6;-1.6;Partidos
Darwin Machís;ve VEN;CC;30;8.7;4;20;9;45.0;2.29;1.03;0.15;0.33;24.2;1;1;1;1.4;0.6;0.03;+2.6;+2.4;Partidos
Juanmi;es ESP;DL;30;9.7;3;14;7;50.0;1.44;0.72;0.21;0.43;12.6;0;0;0;2.5;2.5;0.18;+0.5;+0.5;Partidos
Rominigue Kouamé;ml MLI;CC;26;9.1;0;5;0;0.0;0.55;0.00;0.00;;22.3;0;0;0;0.3;0.3;0.06;-0.3;-0.3;Partidos
Joseba Zaldúa;es ESP;DF;31;7.8;0;1;0;0.0;0.13;0.00;0.00;;34.5;0;0;0;0.0;0.0;0.01;0.0;0.0;Partidos
Luis Hernández;es ESP;DF;34;8.0;1;1;1;100.0;0.12;0.12;1.00;1.00;2.2;0;0;0;1.0;1.0;0.95;0.0;0.0;Partidos
Jorge Meré;es ESP;DF;26;7.5;0;4;1;25.0;0.53;0.13;0.00;0.00;18.2;0;0;0;0.2;0.2;0.04;-0.2;-0.2;Partidos
Aiham Ousou;sy SYR;DF;23;4.8;0;2;0;0.0;0.42;0.00;0.00;;13.3;0;0;0;0.2;0.2;0.09;-0.2;-0.2;Partidos
David Gil;es ESP;PO;29;4.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Partidos
Fede San Emeterio;es ESP;CC;26;1.7;1;1;1;100.0;0.59;0.59;1.00;1.00;5.0;0;0;0;0.1;0.1;0.06;+0.9;+0.9;Partidos
Mamadou Mbaye;sn SEN;DF;25;3.2;0;2;1;50.0;0.62;0.31;0.00;0.00;7.9;0;0;0;0.3;0.3;0.17;-0.3;-0.3;Partidos
Sergi Guardiola;es ESP;DL,CC;32;5.5;1;14;5;35.7;2.55;0.91;0.07;0.20;16.9;0;0;0;1.8;1.8;0.13;-0.8;-0.8;Partidos
Brian Ocampo;uy URU;CC,DL;24;2.8;1;5;2;40.0;1.81;0.73;0.20;0.50;23.0;0;0;0;0.3;0.3;0.06;+0.7;+0.7;Partidos
Diadie Samassékou;ml MLI;CC;27;1.0;0;1;1;100.0;0.98;0.98;0.00;0.00;25.6;0;0;0;0.0;0.0;0.03;0.0;0.0;Partidos
Álvaro Negredo;es ESP;DL,CC;37;0.6;0;3;1;33.3;5.00;1.67;0.00;0.00;29.1;1;0;0;0.1;0.1;0.03;-0.1;-0.1;Partidos
Karl Etta;cm CMR;DL;19;0.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Partidos
José Mari;es ESP;CC,DL;35;0.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Partidos
Milutin Osmaji?;me MNE;CC;24;0.1;0;2;0;0.0;36.00;0.00;0.00;;12.8;0;0;0;0.1;0.1;0.04;-0.1;-0.1;Partidos
Borja Vázquez;es ESP;DL;18;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Partidos
Moussa Diakité;ml MLI;CC;19;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;
