"For Cádiz","For Cádiz","For Cádiz","For Cádiz","For Cádiz","For Cádiz","For Cádiz","For Cádiz","For Cádiz","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Expected","Expected","Expected","Expected","Expected",""
"Date","Time","Round","Day","Venue","Result","GF","GA","Opponent","Gls","Sh","SoT","SoT%","G/Sh","G/SoT","Dist","FK","PK","PKatt","xG","npxG","npxG/Sh","G-xG","np:G-xG","Match Report"
"2023-08-14","19:30","Matchweek 1","Mon","Home","W","1","0","Alavés","1","12","3","25.0","0.08","0.33","17.6","1","0","0","0.7","0.7","0.05","+0.3","+0.3","Match Report"
"2023-08-20","19:30","Matchweek 2","Sun","Away","L","0","2","Barcelona","0","10","1","10.0","0.00","0.00","12.0","0","0","0","1.1","1.1","0.12","-1.1","-1.1","Match Report"
"2023-08-26","19:00","Matchweek 3","Sat","Home","D","1","1","Almería","1","11","3","27.3","0.09","0.33","15.9","1","0","0","1.6","1.6","0.14","-0.6","-0.6","Match Report"
"2023-09-01","19:30","Matchweek 4","Fri","Home","W","3","1","Villarreal","3","17","3","17.6","0.12","0.67","22.1","0","1","1","2.1","1.3","0.08","+0.9","+0.7","Match Report"
"2023-09-16","14:00","Matchweek 5","Sat","Away","L","0","3","Athletic Club","0","5","4","80.0","0.00","0.00","21.8","1","0","0","0.3","0.3","0.06","-0.3","-0.3","Match Report"
"2023-09-24","18:30","Matchweek 6","Sun","Away","D","1","1","Betis","1","5","1","20.0","0.20","1.00","16.2","0","0","0","0.2","0.2","0.04","+0.8","+0.8","Match Report"
"2023-09-27","21:30","Matchweek 7","Wed","Home","D","0","0","Rayo Vallecano","0","9","2","22.2","0.00","0.00","18.0","0","0","0","0.6","0.6","0.07","-0.6","-0.6","Match Report"
"2023-10-01","21:00","Matchweek 8","Sun","Away","L","2","3","Atlético Madrid","2","8","4","50.0","0.25","0.50","21.8","0","0","0","0.8","0.8","0.11","+1.2","+1.2","Match Report"
"2023-10-07","14:00","Matchweek 9","Sat","Home","L","0","1","Girona","0","8","2","25.0","0.00","0.00","17.6","0","0","0","0.4","0.4","0.05","-0.4","-0.4","Match Report"
"2023-10-23","21:00","Matchweek 10","Mon","Away","L","0","2","Valencia","0","5","4","80.0","0.00","0.00","9.9","0","0","0","0.6","0.6","0.13","-0.6","-0.6","Match Report"
"2023-10-28","21:00","Matchweek 11","Sat","Home","D","2","2","Sevilla","2","10","5","50.0","0.20","0.40","18.3","2","0","0","1.1","1.1","0.11","+0.9","+0.9","Match Report"
"2023-11-06","21:00","Matchweek 12","Mon","Away","L","0","1","Getafe","0","6","2","33.3","0.00","0.00","17.4","0","0","0","0.5","0.5","0.09","-0.5","-0.5","Match Report"
"2023-11-26","18:30","Matchweek 14","Sun","Home","L","0","3","Real Madrid","0","13","4","30.8","0.00","0.00","20.0","3","0","0","1.2","1.2","0.09","-1.2","-1.2","Match Report"
"2023-11-29","21:00","Matchweek 13","Wed","Away","D","1","1","Mallorca","1","6","3","50.0","0.17","0.33","31.9","2","0","0","0.3","0.3","0.05","+0.7","+0.7","Match Report"
"2023-12-04","21:00","Matchweek 15","Mon","Away","D","1","1","Celta Vigo","1","2","1","50.0","0.50","1.00","17.7","0","0","0","0.3","0.3","0.13","+0.7","+0.7","Match Report"
"2023-12-10","18:30","Matchweek 16","Sun","Home","D","1","1","Osasuna","1","12","5","41.7","0.08","0.20","17.2","0","0","0","0.9","0.9","0.07","+0.1","+0.1","Match Report"
"2023-12-17","17:30","Matchweek 17","Sun","Away","D","1","1","Las Palmas","1","13","5","38.5","0.08","0.20","16.0","0","0","0","1.6","1.6","0.13","-0.6","-0.6","Match Report"
"2023-12-21","19:00","Matchweek 18","Thu","Home","D","0","0","Real Sociedad","0","10","2","20.0","0.00","0.00","16.8","0","0","0","1.0","1.0","0.10","-1.0","-1.0","Match Report"
"2024-01-03","17:00","Matchweek 19","Wed","Away","L","0","2","Granada","0","15","2","13.3","0.00","0.00","18.6","2","0","0","0.8","0.8","0.05","-0.8","-0.8","Match Report"
"2024-01-14","16:15","Matchweek 20","Sun","Home","L","1","4","Valencia","1","9","1","11.1","0.00","0.00","21.9","2","1","1","1.1","0.4","0.04","-0.1","-0.4","Match Report"
"2024-01-19","21:00","Matchweek 21","Fri","Away","L","0","1","Alavés","0","9","1","11.1","0.00","0.00","17.8","0","0","0","0.3","0.3","0.04","-0.3","-0.3","Match Report"
"2024-01-28","16:15","Matchweek 22","Sun","Home","D","0","0","Athletic Club","0","9","2","22.2","0.00","0.00","23.6","2","0","0","0.4","0.4","0.04","-0.4","-0.4","Match Report"
"2024-02-04","14:00","Matchweek 23","Sun","Away","D","0","0","Villarreal","0","8","2","25.0","0.00","0.00","14.3","1","0","0","0.7","0.7","0.09","-0.7","-0.7","Match Report"
"2024-02-09","21:00","Matchweek 24","Fri","Home","L","0","2","Betis","0","14","5","35.7","0.00","0.00","17.8","0","0","0","0.8","0.8","0.06","-0.8","-0.8","Match Report"
"2024-02-17","16:15","Matchweek 25","Sat","Away","L","0","2","Osasuna","0","5","1","20.0","0.00","0.00","15.9","0","0","0","0.5","0.5","0.11","-0.5","-0.5","Match Report"
"2024-02-25","14:00","Matchweek 26","Sun","Home","D","2","2","Celta Vigo","2","19","6","31.6","0.11","0.33","18.2","2","0","0","2.2","2.2","0.12","-0.2","-0.2","Match Report"
"2024-03-02","16:15","Matchweek 27","Sat","Away","D","1","1","Rayo Vallecano","1","16","5","31.3","0.06","0.20","16.7","0","0","0","1.0","1.0","0.06","0.0","0.0","Match Report"
"2024-03-09","16:15","Matchweek 28","Sat","Home","W","2","0","Atlético Madrid","2","7","3","42.9","0.29","0.67","16.0","0","0","0","1.1","1.1","0.16","+0.9","+0.9","Match Report"
"2024-03-15","21:00","Matchweek 29","Fri","Away","L","0","2","Real Sociedad","0","13","2","15.4","0.00","0.00","20.0","1","0","0","0.8","0.8","0.06","-0.8","-0.8","Match Report"
"2024-03-29","21:00","Matchweek 30","Fri","Home","W","1","0","Granada","1","13","5","38.5","0.08","0.20","16.0","0","0","0","1.6","1.6","0.12","-0.6","-0.6","Match Report"
"2024-04-13","21:00","Matchweek 31","Sat","Home","L","0","1","Barcelona","0","14","3","21.4","0.00","0.00","17.5","0","0","0","1.0","1.0","0.07","-1.0","-1.0","Match Report"
"2024-04-20","21:00","Matchweek 32","Sat","Away","L","1","4","Girona","1","12","5","41.7","0.08","0.20","15.9","0","0","0","1.6","1.6","0.16","-0.6","-0.6","Match Report"
"2024-04-28","14:00","Matchweek 33","Sun","Home","D","1","1","Mallorca","0","10","2","20.0","0.00","0.00","22.2","0","0","0","0.4","0.4","0.04","-0.4","-0.4","Match Report"
"2024-05-04","16:15","Matchweek 34","Sat","Away","L","0","3","Real Madrid","0","7","2","28.6","0.00","0.00","14.5","0","0","0","0.9","0.9","0.14","-0.9","-0.9","Match Report"
"2024-05-12","14:00","Matchweek 35","Sun","Home","W","1","0","Getafe","1","12","5","41.7","0.00","0.00","20.2","1","1","1","1.5","0.7","0.06","-0.5","-0.7","Match Report"
"2024-05-15","19:30","Matchweek 36","Wed","Away","W","1","0","Sevilla","1","19","7","36.8","0.05","0.14","19.9","0","0","0","2.5","2.5","0.13","-1.5","-1.5","Match Report"
"2024-05-19","19:00","Matchweek 37","Sun","Home","D","0","0","Las Palmas","0","10","3","30.0","0.00","0.00","16.3","0","0","0","0.9","0.9","0.09","-0.9","-0.9","Match Report"
"2024-05-25","18:30","Matchweek 38","Sat","Away","L","1","6","Almería","1","12","4","33.3","0.08","0.25","23.0","0","0","0","0.5","0.5","0.04","+0.5","+0.5","Match Report"
"","","","","","6-15-17","26","55","","25","395","120","30.4","0.06","0.18","18.4","21","3","3","36.0","33.6","0.09","-11.0","-11.6",""
