"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Informe"
"2022-08-14","17:30","Matchweek 1","Sun","Away","W","1","0","Real Sociedad","1","15","7","46.7","0.07","0.14","19.2","0","0","0","1.7","1.7","0.11","-0.7","-0.7","Match Report"
"2022-08-20","17:30","Matchweek 2","Sat","Home","W","2","0","Osasuna","2","14","1","7.1","0.00","0.00","18.9","0","2","2","2.7","1.2","0.09","-0.7","-1.2","Match Report"
"2022-08-29","20:00","Matchweek 3","Mon","Away","W","4","0","Athletic Club","4","19","7","36.8","0.21","0.57","16.9","0","0","1","2.4","1.6","0.09","+1.6","+2.4","Match Report"
"2022-09-02","21:00","Matchweek 4","Fri","Home","W","3","0","Celta Vigo","3","9","5","55.6","0.33","0.60","21.2","0","0","0","0.7","0.7","0.08","+2.3","+2.3","Match Report"
"2022-09-10","18:30","Matchweek 5","Sat","Away","W","4","0","Barcelona","4","16","8","50.0","0.25","0.50","14.9","0","0","0","3.4","3.4","0.22","+0.6","+0.6","Match Report"
"2022-09-16","21:00","Matchweek 6","Fri","Home","L","0","1","Valladolid","0","18","6","33.3","0.00","0.00","18.1","2","0","0","1.5","1.5","0.08","-1.5","-1.5","Match Report"
"2022-10-01","14:00","Matchweek 7","Sat","Away","D","0","0","Villarreal","0","14","6","42.9","0.00","0.00","19.4","1","0","0","1.6","1.6","0.12","-1.6","-1.6","Match Report"
"2022-10-09","16:15","Matchweek 8","Sun","Away","D","2","2","Espanyol","2","9","6","66.7","0.22","0.33","15.2","0","0","0","1.3","1.3","0.14","+0.7","+0.7","Match Report"
"2022-10-15","14:00","Matchweek 9","Sat","Home","D","1","1","Girona","1","22","5","22.7","0.00","0.00","17.1","1","1","1","2.3","1.6","0.07","-1.3","-1.6","Match Report"
"2022-10-19","19:00","Matchweek 10","Wed","Away","D","0","0","Betis","0","12","3","25.0","0.00","0.00","19.1","0","0","0","0.9","0.9","0.08","-0.9","-0.9","Match Report"
"2022-10-22","14:00","Matchweek 11","Sat","Home","W","5","1","Rayo Vallecano","5","27","10","37.0","0.15","0.40","19.0","2","1","1","3.7","3.0","0.12","+1.3","+1.0","Match Report"
"2022-10-29","16:15","Matchweek 12","Sat","Away","L","2","3","Atlético Madrid","2","16","8","50.0","0.13","0.25","16.1","0","0","0","1.3","1.3","0.08","+0.7","+0.7","Match Report"
"2022-11-05","14:00","Matchweek 13","Sat","Home","D","0","0","Getafe","0","13","1","7.7","0.00","0.00","18.2","1","0","0","0.6","0.6","0.05","-0.6","-0.6","Match Report"
"2022-11-10","21:30","Matchweek 14","Thu","Home","W","2","1","Real Madrid","2","18","5","27.8","0.11","0.40","20.2","0","0","0","2.0","2.0","0.11","0.0","0.0","Match Report"
"2022-12-30","19:15","Matchweek 15","Fri","Away","D","1","1","Almería","1","19","10","52.6","0.05","0.10","17.6","2","0","0","2.3","2.3","0.12","-1.3","-1.3","Match Report"
"2023-01-06","21:00","Matchweek 16","Fri","Home","L","0","1","Valencia","0","11","2","18.2","0.00","0.00","17.3","1","0","0","0.4","0.4","0.04","-0.4","-0.4","Match Report"
"2023-01-16","21:00","Matchweek 17","Mon","Away","D","1","1","Elche","1","12","5","41.7","0.08","0.20","20.1","1","0","0","0.6","0.6","0.05","+0.4","+0.4","Match Report"
"2023-01-21","21:00","Matchweek 18","Sat","Home","W","1","0","Sevilla","1","16","7","43.8","0.00","0.00","19.7","4","1","1","1.7","0.9","0.06","-0.7","-0.9","Match Report"
"2023-01-28","14:00","Matchweek 19","Sat","Away","L","0","2","Mallorca","0","9","2","22.2","0.00","0.00","19.2","0","0","0","0.4","0.4","0.05","-0.4","-0.4","Match Report"
"2023-02-03","21:00","Matchweek 20","Fri","Home","W","4","1","Athletic Club","4","17","9","52.9","0.24","0.44","16.8","0","0","0","1.7","1.7","0.11","+2.3","+2.3","Match Report"
"2023-02-10","21:00","Matchweek 21","Fri","Away","L","0","2","Girona","0","7","1","14.3","0.00","0.00","21.5","0","0","0","0.2","0.2","0.03","-0.2","-0.2","Match Report"
"2023-02-19","21:00","Matchweek 22","Sun","Home","W","2","0","Barcelona","2","16","4","25.0","0.13","0.50","13.4","0","0","0","2.2","2.2","0.14","-0.2","-0.2","Match Report"
"2023-02-25","16:15","Matchweek 23","Sat","Away","L","0","1","Rayo Vallecano","0","11","1","9.1","0.00","0.00","20.0","0","0","0","0.6","0.6","0.06","-0.6","-0.6","Match Report"
"2023-03-03","21:00","Matchweek 24","Fri","Home","D","0","0","Real Sociedad","0","15","3","20.0","0.00","0.00","16.8","0","0","0","1.2","1.2","0.08","-1.2","-1.2","Match Report"
"2023-03-10","21:00","Matchweek 25","Fri","Away","D","2","2","Getafe","2","14","8","57.1","0.00","0.00","20.0","1","2","2","2.7","1.1","0.09","-0.7","-1.1","Match Report"
"2023-03-18","14:00","Matchweek 26","Sat","Home","D","1","1","Almería","1","16","4","25.0","0.00","0.00","15.7","1","1","1","2.4","1.6","0.11","-1.4","-1.6","Match Report"
"2023-04-01","18:30","Matchweek 27","Sat","Away","W","2","0","Sevilla","2","11","5","45.5","0.18","0.40","15.8","0","0","0","1.1","1.1","0.10","+0.9","+0.9","Match Report"
"2023-04-09","16:15","Matchweek 28","Sun","Home","L","0","2","Betis","0","9","2","22.2","0.00","0.00","15.5","1","0","0","1.2","1.2","0.14","-1.2","-1.2","Match Report"
"2023-04-15","21:00","Matchweek 29","Sat","Away","W","2","0","Real Madrid","2","35","11","31.4","0.06","0.18","16.8","1","0","0","3.5","3.5","0.10","-1.5","-1.5","Match Report"
"2023-04-21","21:00","Matchweek 30","Fri","Home","D","0","0","Espanyol","0","14","5","35.7","0.00","0.00","14.7","1","0","0","1.3","1.3","0.10","-1.3","-1.3","Match Report"
"2023-04-25","19:30","Matchweek 31","Tue","Away","W","1","0","Osasuna","1","6","4","66.7","0.17","0.25","15.9","0","0","0","1.0","1.0","0.17","0.0","0.0","Match Report"
"2023-04-30","14:00","Matchweek 32","Sun","Away","L","1","2","Valencia","1","16","3","18.8","0.06","0.33","16.0","0","0","0","1.3","1.3","0.08","-0.3","-0.3","Match Report"
"2023-05-03","22:00","Matchweek 33","Wed","Home","W","5","1","Atlético Madrid","5","17","7","41.2","0.24","0.57","14.5","0","1","1","3.0","2.2","0.13","+2.0","+1.8","Match Report"
"2023-05-12","21:00","Matchweek 34","Fri","Home","W","1","0","Mallorca","1","8","3","37.5","0.13","0.33","12.1","0","0","0","1.2","1.2","0.17","-0.2","-0.2","Match Report"
"2023-05-19","21:00","Matchweek 35","Fri","Away","L","0","2","Valladolid","0","6","2","33.3","0.00","0.00","16.2","0","0","0","0.7","0.7","0.12","-0.7","-0.7","Match Report"
"2023-05-24","19:30","Matchweek 36","Wed","Home","W","2","0","Villarreal","2","13","7","53.8","0.15","0.29","20.0","3","0","0","2.4","2.4","0.18","-0.4","-0.4","Match Report"
"2023-05-28","19:00","Matchweek 37","Sun","Away","L","0","1","Celta Vigo","0","9","4","44.4","0.00","0.00","20.3","1","0","0","0.6","0.6","0.07","-0.6","-0.6","Match Report"
"2023-06-04","21:00","Matchweek 38","Sun","Home","D","1","1","Elche","1","12","5","41.7","0.08","0.20","15.8","0","0","0","1.6","1.6","0.13","-0.6","-0.6","Match Report"
