"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","FK","PK","PKatt","xG","xG - nopenalty","npxG/Sh","G-xG","np:G-xG","Informe"
"2022-08-15","17:30","Matchweek 1","Mon","Away","D","0","0","Mallorca","0","6","2","33.3","0.00","0.00","14.8","0","0","0","0.4","0.4","0.06","-0.4","-0.4","Match Report"
"2022-08-21","17:30","Matchweek 2","Sun","Away","L","0","1","Valencia","0","10","0","0.0","0.00","","17.2","0","0","0","0.7","0.7","0.07","-0.7","-0.7","Match Report"
"2022-08-29","20:00","Matchweek 3","Mon","Home","L","0","4","Cádiz","0","9","3","33.3","0.00","0.00","27.6","0","0","0","0.4","0.4","0.04","-0.4","-0.4","Match Report"
"2022-09-04","16:15","Matchweek 4","Sun","Away","W","1","0","Espanyol","1","9","2","22.2","0.11","0.50","18.0","0","0","0","0.6","0.6","0.07","+0.4","+0.4","Match Report"
"2022-09-11","16:15","Matchweek 5","Sun","Home","L","1","4","Elche","1","9","2","22.2","0.11","0.50","21.0","0","0","0","0.9","0.9","0.10","+0.1","+0.1","Match Report"
"2022-09-17","21:00","Matchweek 6","Sat","Away","L","2","3","Rayo Vallecano","2","11","2","18.2","0.18","1.00","19.7","0","0","0","0.7","0.7","0.07","+1.3","+1.3","Match Report"
"2022-09-30","21:00","Matchweek 7","Fri","Away","L","0","4","Almería","0","8","2","25.0","0.00","0.00","14.9","0","0","0","0.7","0.7","0.09","-0.7","-0.7","Match Report"
"2022-10-08","18:30","Matchweek 8","Sat","Home","D","1","1","Sevilla","1","10","3","30.0","0.10","0.33","15.2","1","0","0","1.0","1.0","0.10","0.0","0.0","Match Report"
"2022-10-15","21:00","Matchweek 9","Sat","Away","W","1","0","Atlético Madrid","1","3","1","33.3","0.33","1.00","17.1","0","0","0","0.3","0.3","0.12","+0.7","+0.7","Match Report"
"2022-10-18","20:00","Matchweek 10","Tue","Home","D","2","2","Getafe","2","11","4","36.4","0.18","0.50","16.8","0","0","0","0.8","0.8","0.08","+1.2","+1.2","Match Report"
"2022-10-23","21:00","Matchweek 11","Sun","Home","W","4","0","Barcelona","4","10","7","70.0","0.40","0.57","13.3","0","0","0","1.4","1.4","0.15","+2.6","+2.6","Match Report"
"2022-10-30","18:30","Matchweek 12","Sun","Away","L","0","1","Villarreal","0","6","3","50.0","0.00","0.00","19.0","0","0","0","0.3","0.3","0.05","-0.3","-0.3","Match Report"
"2022-11-04","21:00","Matchweek 13","Fri","Home","W","2","1","Girona","2","19","10","52.6","0.11","0.20","17.4","1","0","0","1.0","1.0","0.06","+1.0","+1.0","Match Report"
"2022-11-08","20:00","Matchweek 14","Tue","Away","L","0","3","Valladolid","0","8","0","0.0","0.00","","18.6","0","0","0","0.5","0.5","0.06","-0.5","-0.5","Match Report"
"2022-12-29","19:15","Matchweek 15","Thu","Home","D","0","0","Betis","0","9","5","55.6","0.00","0.00","22.6","2","0","0","0.5","0.5","0.05","-0.5","-0.5","Match Report"
"2023-01-09","21:00","Matchweek 16","Mon","Away","D","0","0","Osasuna","0","3","1","33.3","0.00","0.00","22.7","0","0","0","0.4","0.4","0.12","-0.4","-0.4","Match Report"
"2023-01-14","21:00","Matchweek 17","Sat","Home","W","3","1","Real Sociedad","3","10","4","40.0","0.20","0.50","17.4","0","1","1","2.0","1.2","0.12","+1.0","+0.8","Match Report"
"2023-01-22","21:00","Matchweek 18","Sun","Away","W","2","0","Real Madrid","2","10","4","40.0","0.20","0.50","14.9","0","0","0","1.1","1.1","0.11","+0.9","+0.9","Match Report"
"2023-01-29","18:30","Matchweek 19","Sun","Home","W","1","0","Celta Vigo","1","9","3","33.3","0.11","0.33","20.7","1","0","0","0.7","0.7","0.08","+0.3","+0.3","Match Report"
"2023-02-03","21:00","Matchweek 20","Fri","Away","L","1","4","Cádiz","1","15","3","20.0","0.07","0.33","17.8","1","0","0","1.6","1.6","0.10","-0.6","-0.6","Match Report"
"2023-02-11","21:00","Matchweek 21","Sat","Home","L","1","2","Valencia","1","18","8","44.4","0.06","0.13","18.3","1","0","0","1.6","1.6","0.09","-0.6","-0.6","Match Report"
"2023-02-19","18:30","Matchweek 22","Sun","Home","W","1","0","Atlético Madrid","1","17","5","29.4","0.06","0.20","19.8","1","0","0","1.2","1.2","0.07","-0.2","-0.2","Match Report"
"2023-02-26","14:00","Matchweek 23","Sun","Away","W","3","2","Girona","1","8","4","50.0","0.13","0.25","10.9","0","0","0","1.1","1.1","0.16","-0.1","-0.1","Match Report"
"2023-03-05","18:30","Matchweek 24","Sun","Home","D","0","0","Rayo Vallecano","0","18","2","11.1","0.00","0.00","18.5","1","0","0","1.1","1.1","0.06","-1.1","-1.1","Match Report"
"2023-03-12","21:00","Matchweek 25","Sun","Away","W","1","0","Barcelona","1","10","2","20.0","0.10","0.50","17.2","0","0","0","0.9","0.9","0.09","+0.1","+0.1","Match Report"
"2023-03-17","21:00","Matchweek 26","Fri","Home","L","1","3","Valladolid","1","15","3","20.0","0.07","0.33","18.6","0","0","0","1.1","1.1","0.08","-0.1","-0.1","Match Report"
"2023-04-01","16:15","Matchweek 27","Sat","Away","D","0","0","Getafe","0","10","1","10.0","0.00","0.00","14.1","1","0","0","0.8","0.8","0.08","-0.8","-0.8","Match Report"
"2023-04-08","16:15","Matchweek 28","Sat","Home","L","1","2","Espanyol","1","9","2","22.2","0.11","0.50","18.3","0","0","0","0.9","0.9","0.10","+0.1","+0.1","Match Report"
"2023-04-15","16:15","Matchweek 29","Sat","Away","L","0","2","Real Sociedad","0","13","4","30.8","0.00","0.00","17.3","1","0","0","1.4","1.4","0.11","-1.4","-1.4","Match Report"
"2023-04-22","16:15","Matchweek 30","Sat","Home","L","1","2","Almería","1","12","4","33.3","0.08","0.25","19.9","2","0","0","0.8","0.8","0.06","+0.2","+0.2","Match Report"
"2023-04-27","22:00","Matchweek 31","Thu","Away","W","1","0","Sevilla","1","3","0","0.0","0.00","","19.2","0","1","1","1.0","0.3","0.08","0.0","-0.3","Match Report"
"2023-05-01","19:00","Matchweek 32","Mon","Home","D","1","1","Mallorca","1","9","2","22.2","0.11","0.50","13.2","0","0","0","0.9","0.9","0.11","+0.1","+0.1","Match Report"
"2023-05-04","22:00","Matchweek 33","Thu","Away","W","1","0","Betis","1","12","2","16.7","0.08","0.50","21.1","1","0","0","1.2","1.2","0.10","-0.2","-0.2","Match Report"
"2023-05-13","18:30","Matchweek 34","Sat","Home","W","5","1","Villarreal","4","17","11","64.7","0.24","0.36","16.3","1","0","0","3.2","3.2","0.21","+0.8","+0.8","Match Report"
"2023-05-20","16:15","Matchweek 35","Sat","Away","L","1","2","Celta Vigo","1","8","3","37.5","0.13","0.33","22.6","0","0","0","0.5","0.5","0.06","+0.5","+0.5","Match Report"
"2023-05-25","21:30","Matchweek 36","Thu","Home","W","2","0","Osasuna","2","9","3","33.3","0.22","0.67","18.4","1","0","0","0.8","0.8","0.09","+1.2","+1.2","Match Report"
"2023-05-28","19:00","Matchweek 37","Sun","Away","W","1","0","Elche","1","6","2","33.3","0.17","0.50","14.2","0","0","0","0.9","0.9","0.15","+0.1","+0.1","Match Report"
"2023-06-04","18:30","Matchweek 38","Sun","Home","D","1","1","Real Madrid","1","8","1","12.5","0.00","0.00","17.9","0","1","1","1.8","1.0","0.12","-0.8","-1.0","Match Report"
